Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Conv1, 34, 34, 3, 3, 3, 64, 1,
L1B0C1, 34, 34, 3, 3, 64, 64, 1,
L1B0C2, 34, 34, 3, 3, 64, 64, 1,
L1B1C1, 34, 34, 3, 3, 64, 64, 1,
L1B1C2, 34, 34, 3, 3, 64, 64, 1,

L2B0C1, 34, 34, 3, 3, 64, 128, 2,
L2B0C2, 18, 18, 3, 3, 128, 128, 1,
L2B0S1, 34, 34, 1, 1, 64, 128, 2,
L2B1C1, 18, 18, 3, 3, 128, 128, 1,
L2B2C2, 18, 18, 3, 3, 128, 128, 1,

L3B0C1, 18, 18, 3, 3, 128, 256, 2,
L3B0C2, 10, 10, 3, 3, 256, 256, 1,
L3B0S1, 18, 18, 1, 1, 128, 256, 2,
L3B1C1, 10, 10, 3, 3, 256, 256, 1,
L3B1C2, 10, 10, 3, 3, 256, 256, 1,

L4B0C1, 10, 10, 3, 3, 256, 512, 2,
L4B0C2, 8, 8, 3, 3, 512, 512, 1,
L4B0S1, 10, 10, 1, 1, 256, 512, 2,
L4B1C1, 8, 8, 3, 3, 512, 512, 1,
L4B1C2, 8, 8, 3, 3, 512, 512, 1,

FC1, 1, 1, 1, 1, 512, 10, 1,
