Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  34, 34,    3, 3,    3,      64,     1,
Conv2,  34, 34,    3, 3,    64,      64,     1,
Conv3,  18, 18,    3, 3,      64,     128,     1,
Conv4,  18, 18,     3, 3,      128,    128,    1,
Conv5,  10, 10,     3, 3,      128,    256,    1,
Conv6,  10, 10,     3, 3,      256,    256,    1,
Conv7,	10, 10,     3,	3,	256,	256,	1,
Conv8,	6,  6,     3,	3,	256,	512,	1,
Conv9,	6,  6,     3,	3,	512,	512,	1,
Conv10,	6,  6,     3,	3,	512,	512,	1,
Conv11,	4,   4,	     3,	3,	512,	512,	1,
Conv12, 4,   4,	     3,	3,	512,	512,	1,
Conv13, 4,   4,	     3,	3,	512,	512,	1,
FC1,	1,   1,	     1,	1,	512,	512,	1,
FC2,	1,   1,	     1,	1,	512,	512,	1,
FC3,	1,   1,	     1,	1,	512,	10,	1,
