Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  224, 224,    3, 3,    3,    64,     1,
Conv2,  224, 224,    3, 3,    64,   64,     1,
Conv3,  113, 113,    3, 3,    64,   128,     1,
Conv4,  113, 113,    3, 3,    128,  128,    1,
Conv5,  57,  57,     3, 3,    128,  256,    1,
Conv6,  57,  57,     3, 3,    256,  256,    1,
Conv7,  57,  57,     3, 3,	256,  256,	1,
Conv8,  27,  27,     3, 3,	256,  512,	1,
Conv9,  27,  27,     3, 3,	512,  512,	1,
Conv10, 27,  27,     3, 3,	512,  512,	1,
Conv11, 12,  12,     3, 3,	512,  512,	1,
Conv12, 12,  12,     3, 3,	512,  512,	1,
Conv13, 12,  12,     3, 3,	512,  512,	1,
FC1,	1,   1,	     1,	1,	12800,	4096,	1,
FC2,	1,   1,	     1,	1,	4096,	4096,	1,
FC3,	1,   1,	     1,	1,	4096,	1000,	1,
