Layer name,	IFMAP Height,	IFMAP Width,	Filter Height,	Filter Width,	Channels,	Num Filter,	Strides,
Conv1,	224,	224,	7,	7,	3,	64,	2,
Conv2,	56,	56,	1,	1,	64,	64,	1,
Conv3,	56,	56,	3,	3,	64,	64,	1,
Conv4,	56,	56,	1,	1,	64,	256,	1,
Resid5,	56,	56,	1,	1,	64,	256,	1,
Conv6,	56,	56,	1,	1,	256,	64,	1,
Conv7,	56,	56,	3,	3,	64,	64,	1,
Conv8,	56,	56,	1,	1,	64,	256,	1,
Conv9,	56,	56,	1,	1,	256,	64,	1,
Conv10,	56,	56,	3,	3,	64,	64,	1,
Conv11,	56,	56,	1,	1,	64,	256,	1,
Conv12,	56,	56,	1,	1,	256,	128,	2,
Conv13,	28,	28,	3,	3,	128,	128,	1,
Conv14,	28,	28,	1,	1,	128,	512,	1,
Resid15,	56,	56,	1,	1,	256,	512,	2,
Conv16,	28,	28,	1,	1,	512,	128,	1,
Conv17,	28,	28,	3,	3,	128,	128,	1,
Conv18,	28,	28,	1,	1,	128,	512,	1,
Conv19,	28,	28,	1,	1,	512,	128,	1,
Conv20,	28,	28,	3,	3,	128,	128,	1,
Conv21,	28,	28,	1,	1,	128,	512,	1,
Conv22,	28,	28,	1,	1,	512,	128,	1,
Conv23,	28,	28,	3,	3,	128,	128,	1,
Conv24,	28,	28,	1,	1,	128,	512,	1,
Conv25,	28,	28,	1,	1,	512,	256,	2,
Conv26,	14,	14,	3,	3,	256,	256,	1,
Conv27,	14,	14,	1,	1,	256,	1024,	1,
Resid28,	28,	28,	1,	1,	512,	1024,	2,
Conv29,	14,	14,	1,	1,	1024,	256,	1,
Conv30,	14,	14,	3,	3,	256,	256,	1,
Conv31,	14,	14,	1,	1,	256,	1024,	1,
Conv32,	14,	14,	1,	1,	1024,	256,	1,
Conv33,	14,	14,	3,	3,	256,	256,	1,
Conv34,	14,	14,	1,	1,	256,	1024,	1,
Conv35,	14,	14,	1,	1,	1024,	256,	1,
Conv36,	14,	14,	3,	3,	256,	256,	1,
Conv37,	14,	14,	1,	1,	256,	1024,	1,
Conv38,	14,	14,	1,	1,	1024,	256,	1,
Conv39,	14,	14,	3,	3,	256,	256,	1,
Conv40,	14,	14,	1,	1,	256,	1024,	1,
Conv41,	14,	14,	1,	1,	1024,	256,	1,
Conv42,	14,	14,	3,	3,	256,	256,	1,
Conv43,	14,	14,	1,	1,	256,	1024,	1,
Conv44,	14,	14,	1,	1,	1024,	512,	2,
Conv45,	7,	7,	3,	3,	512,	512,	1,
Conv46,	7,	7,	1,	1,	512,	2048,	1,
Resid47,	14,	14,	1,	1,	1024,	2048,	2,
Conv48,	7,	7,	1,	1,	2048,	512,	1,
Conv49,	7,	7,	3,	3,	512,	512,	1,
Conv50,	7,	7,	1,	1,	512,	2048,	1,
Conv51,	7,	7,	1,	1,	2048,	512,	1,
Conv52,	7,	7,	3,	3,	512,	512,	1,
Conv53,	7,	7,	1,	1,	512,	2048,	1,
