Layer name,	IFMAP Height,	IFMAP Width,	Filter Height,	Filter Width,	Channels,	Num Filter,	Strides,
Conv1,	1254,	1254,	3,	3,	3,	32,	1,
Conv2,	1254,	1254,	3,	3,	32,	64,	2,
Conv3,	627,	627,	1,	1,	64,	32,	1,
Conv4,	627,	627,	3,	3,	32,	64,	1,
Conv5,	627,	627,	3,	3,	64,	128,	2,
Conv6,	313,	313,	1,	1,	128,	64,	1,
Conv7,	313,	313,	3,	3,	64,	128,	1,
Conv8,	313,	313,	1,	1,	128,	64,	1,
Conv9,	313,	313,	3,	3,	64,	128,	1,
Conv10,	313,	313,	3,	3,	128,	256,	2,
Conv11,	156,	156,	1,	1,	256,	128,	1,
Conv12,	156,	156,	3,	3,	128,	256,	1,
Conv13,	156,	156,	1,	1,	256,	128,	1,
Conv14,	156,	156,	3,	3,	128,	256,	1,
Conv15,	156,	156,	1,	1,	256,	128,	1,
Conv16,	156,	156,	3,	3,	128,	256,	1,
Conv17,	156,	156,	1,	1,	256,	128,	1,
Conv18,	156,	156,	3,	3,	128,	256,	1,
Conv19,	156,	156,	1,	1,	256,	128,	1,
Conv20,	156,	156,	3,	3,	128,	256,	1,
Conv21,	156,	156,	1,	1,	256,	128,	1,
Conv22,	156,	156,	3,	3,	128,	256,	1,
Conv23,	156,	156,	1,	1,	256,	128,	1,
Conv24,	156,	156,	3,	3,	128,	256,	1,
Conv25,	156,	156,	1,	1,	256,	128,	1,
Conv26,	156,	156,	3,	3,	128,	256,	1,
Conv27,	156,	156,	3,	3,	256,	512,	2,
Conv28,	78,	78,	1,	1,	512,	256,	1,
Conv29,	78,	78,	3,	3,	256,	512,	1,
Conv30,	78,	78,	1,	1,	512,	256,	1,
Conv31,	78,	78,	3,	3,	256,	512,	1,
Conv32,	78,	78,	1,	1,	512,	256,	1,
Conv33,	78,	78,	3,	3,	256,	512,	1,
Conv34,	78,	78,	1,	1,	512,	256,	1,
Conv35,	78,	78,	3,	3,	256,	512,	1,
Conv36,	78,	78,	1,	1,	512,	256,	1,
Conv37,	78,	78,	3,	3,	256,	512,	1,
Conv38,	78,	78,	1,	1,	512,	256,	1,
Conv39,	78,	78,	3,	3,	256,	512,	1,
Conv40,	78,	78,	1,	1,	512,	256,	1,
Conv41,	78,	78,	3,	3,	256,	512,	1,
Conv42,	78,	78,	1,	1,	512,	256,	1,
Conv43,	78,	78,	3,	3,	256,	512,	1,
Conv44,	78,	78,	3,	3,	512,	1024,	2,
Conv45,	39,	39,	1,	1,	1024,	512,	1,
Conv46,	39,	39,	3,	3,	512,	1024,	1,
Conv47,	39,	39,	1,	1,	1024,	512,	1,
Conv48,	39,	39,	3,	3,	512,	1024,	1,
Conv49,	39,	39,	1,	1,	1024,	512,	1,
Conv50,	39,	39,	3,	3,	512,	1024,	1,
Conv51,	39,	39,	1,	1,	1024,	512,	1,
Conv52,	39,	39,	3,	3,	512,	1024,	1,
